predict_mode,q_mode,q_param,q_label,policy,final_mean_km,rms_km,blackout_mean_km,nis_median_dof,timing_mean_m
filter_dynamics,hw2_sigma_acc,1e-08,1e-08,hybrid,0.005,2.476,0.042,0.94,13.69
filter_dynamics,hw2_sigma_acc,1e-08,1e-08,gnss_only,0.004,2.503,0.029,0.87,82.36
filter_dynamics,hw2_sigma_acc,1e-08,1e-08,xnav_only,0.006,2.476,0.037,0.87,
filter_dynamics,hw2_sigma_acc,1e-07,1e-07,hybrid,0.006,2.476,0.045,0.92,13.42
filter_dynamics,hw2_sigma_acc,1e-07,1e-07,gnss_only,0.006,2.504,0.049,0.86,87.04
filter_dynamics,hw2_sigma_acc,1e-07,1e-07,xnav_only,0.009,2.476,0.053,0.87,
filter_dynamics,hw2_sigma_acc,1e-06,1e-06,hybrid,0.009,2.477,0.089,0.89,14.75
filter_dynamics,hw2_sigma_acc,1e-06,1e-06,gnss_only,0.012,2.507,0.088,0.84,107.95
filter_dynamics,hw2_sigma_acc,1e-06,1e-06,xnav_only,0.015,2.478,0.092,0.86,
filter_dynamics,hw2_sigma_acc,1e-05,1e-05,hybrid,0.019,2.481,0.155,0.85,18.85
filter_dynamics,hw2_sigma_acc,1e-05,1e-05,gnss_only,0.022,2.575,0.156,0.79,353.28
filter_dynamics,hw2_sigma_acc,1e-05,1e-05,xnav_only,0.033,2.483,0.157,0.82,
filter_dynamics,hw2_sigma_acc,0.0001,0.0001,hybrid,0.021,2.489,0.244,0.74,20.8
filter_dynamics,hw2_sigma_acc,0.0001,0.0001,gnss_only,0.05,3.676,0.245,0.65,1666.1
filter_dynamics,hw2_sigma_acc,0.0001,0.0001,xnav_only,0.086,2.495,0.248,0.71,
filter_dynamics,hw2_sigma_acc,0.001,0.001,hybrid,0.021,2.498,0.315,0.54,21.26
filter_dynamics,hw2_sigma_acc,0.001,0.001,gnss_only,0.473,4.442,0.316,0.42,2188.28
filter_dynamics,hw2_sigma_acc,0.001,0.001,xnav_only,0.378,2.508,0.319,0.45,
