predict_mode,q_mode,q_param,q_label,q_note,policy,final_mean_km,final_p95_km,rms_km,blackout_mean_km,non_blackout_mean_km,nis_median_dof,timing_mean_m,n_trials
filter_predict,constant,1e-05,1e-5,,hybrid,13.135,13.167,6.41,4.678,3.668,75.15,2342.98,3
filter_predict,constant,1e-05,1e-5,,gnss_only,26.64,26.675,1491.413,4.692,1977.798,133.54,1302527.38,3
filter_predict,constant,0.0001,1e-4,,hybrid,3.05,3.073,3.273,1.234,1.11,8.75,584.73,3
filter_predict,constant,0.0001,1e-4,,gnss_only,10.408,10.504,679.079,1.235,808.791,12.46,532515.52,3
filter_predict,constant,0.001,1e-3,,hybrid,0.553,0.573,2.951,0.429,0.553,1.69,174.47,3
filter_predict,constant,0.001,1e-3,,gnss_only,4.936,5.071,260.592,0.431,285.484,2.01,187845.68,3
filter_predict,gravity_scaled,0.5,scale=0.5,"q_a∈[0.000502,0.128]",hybrid,0.043,0.076,2.938,0.347,0.51,1.2,116.02,3
filter_predict,gravity_scaled,0.5,scale=0.5,"q_a∈[0.000502,0.128]",gnss_only,1.374,2.553,53.407,0.345,65.512,1.34,42959.89,3
filter_predict,gravity_scaled,1.0,scale=1,"q_a∈[0.00201,0.513]",hybrid,0.051,0.083,2.937,0.335,0.502,0.71,116.97,3
filter_predict,gravity_scaled,1.0,scale=1,"q_a∈[0.00201,0.513]",gnss_only,1.429,3.111,24.945,0.334,28.992,0.68,18911.2,3
filter_predict,gravity_scaled,2.0,scale=2,"q_a∈[0.00803,2.05]",hybrid,0.053,0.085,2.938,0.342,0.505,0.55,118.41,3
filter_predict,gravity_scaled,2.0,scale=2,"q_a∈[0.00803,2.05]",gnss_only,1.472,3.272,16.586,0.344,20.436,0.47,13284.61,3
