campaign,trial_id,policy,final_error_km,mean_error_km,rms_error_km,p95_error_km,blackout_mean_km,non_blackout_mean_km,position_offset_km,n_pulsars,toa_sigma_us
main,0,hybrid,1.043,0.495,2.699,1.028,0.437,0.599,74.587,5,1.0
main,0,xnav_only,2.41,0.699,2.771,1.962,0.538,0.987,74.587,5,1.0
main,0,gnss_only,58.509,40.308,53.506,117.752,54.089,15.656,74.587,5,1.0
main,1,hybrid,1.178,0.517,3.132,1.052,0.447,0.642,86.929,5,1.0
main,1,xnav_only,2.065,0.703,3.193,2.004,0.513,1.043,86.929,5,1.0
main,1,gnss_only,24.868,40.472,52.118,111.826,52.287,19.338,86.929,5,1.0
main,2,hybrid,1.065,0.498,2.474,1.01,0.45,0.585,68.054,5,1.0
main,2,xnav_only,2.317,0.689,2.552,1.958,0.529,0.976,68.054,5,1.0
main,2,gnss_only,31.262,38.61,51.359,113.26,52.069,14.536,68.054,5,1.0
main,3,hybrid,1.156,0.515,3.24,1.074,0.442,0.646,90.018,5,1.0
main,3,xnav_only,2.444,0.722,3.302,1.99,0.536,1.053,90.018,5,1.0
main,3,gnss_only,49.914,38.628,50.151,107.459,51.479,15.641,90.018,5,1.0
main,4,hybrid,1.096,0.52,3.254,1.017,0.45,0.644,90.423,5,1.0
main,4,xnav_only,2.288,0.717,3.315,2.089,0.523,1.064,90.423,5,1.0
main,4,gnss_only,84.266,39.945,53.071,117.325,53.367,15.937,90.423,5,1.0
main,5,hybrid,1.147,0.449,1.248,1.04,0.453,0.442,31.982,5,1.0
main,5,xnav_only,2.314,0.643,1.395,1.958,0.53,0.845,31.982,5,1.0
main,5,gnss_only,152.192,39.262,49.585,105.376,50.226,19.652,31.982,5,1.0
main,6,hybrid,1.286,0.507,2.65,1.069,0.46,0.592,73.077,5,1.0
main,6,xnav_only,2.295,0.695,2.723,2.066,0.527,0.996,73.077,5,1.0
main,6,gnss_only,72.393,37.446,49.507,107.966,50.301,14.454,73.077,5,1.0
main,7,hybrid,1.07,0.509,2.821,1.111,0.453,0.61,77.988,5,1.0
main,7,xnav_only,2.433,0.692,2.883,1.893,0.521,0.997,77.988,5,1.0
main,7,gnss_only,127.222,39.946,51.968,113.551,51.434,19.398,77.988,5,1.0
main,8,hybrid,1.057,0.46,1.496,1.052,0.449,0.478,39.457,5,1.0
main,8,xnav_only,2.543,0.657,1.618,1.946,0.525,0.893,39.457,5,1.0
main,8,gnss_only,110.005,42.62,55.499,121.478,56.347,18.066,39.457,5,1.0
main,9,hybrid,1.184,0.487,2.331,1.041,0.441,0.568,64.008,5,1.0
main,9,xnav_only,2.366,0.688,2.417,2.049,0.528,0.974,64.008,5,1.0
main,9,gnss_only,32.338,40.38,52.713,116.081,53.045,17.725,64.008,5,1.0
main,10,hybrid,1.07,0.498,2.541,0.998,0.458,0.57,70.007,5,1.0
main,10,xnav_only,2.262,0.694,2.618,1.996,0.525,0.996,70.007,5,1.0
main,10,gnss_only,64.361,39.548,50.631,105.951,52.392,16.574,70.007,5,1.0
main,11,hybrid,1.142,0.485,2.107,1.059,0.459,0.531,57.413,5,1.0
main,11,xnav_only,2.406,0.676,2.194,2.011,0.533,0.932,57.413,5,1.0
main,11,gnss_only,111.401,37.963,49.452,105.821,50.794,15.013,57.413,5,1.0
main,12,hybrid,1.166,0.459,1.378,1.063,0.46,0.456,35.881,5,1.0
main,12,xnav_only,2.34,0.657,1.518,2.088,0.541,0.864,35.881,5,1.0
main,12,gnss_only,17.411,38.102,50.662,111.637,51.605,13.949,35.881,5,1.0
main,13,hybrid,1.378,0.527,3.287,1.002,0.455,0.656,91.354,5,1.0
main,13,xnav_only,2.523,0.712,3.344,2.013,0.524,1.048,91.354,5,1.0
main,13,gnss_only,168.796,40.119,54.156,120.628,54.995,13.509,91.354,5,1.0
main,14,hybrid,1.114,0.488,2.247,1.01,0.455,0.547,61.524,5,1.0
main,14,xnav_only,2.492,0.68,2.332,1.957,0.534,0.94,61.524,5,1.0
main,14,gnss_only,35.849,39.937,51.583,110.414,52.718,17.077,61.524,5,1.0
main,15,hybrid,1.159,0.48,2.137,1.058,0.452,0.528,58.319,5,1.0
main,15,xnav_only,2.577,0.687,2.225,2.064,0.546,0.939,58.319,5,1.0
main,15,gnss_only,8.471,40.427,52.711,112.979,53.265,17.463,58.319,5,1.0
main,16,hybrid,1.128,0.482,1.883,1.022,0.458,0.524,50.909,5,1.0
main,16,xnav_only,2.683,0.676,1.984,2.008,0.525,0.946,50.909,5,1.0
main,16,gnss_only,38.056,39.389,52.403,114.548,54.141,13.001,50.909,5,1.0
main,17,hybrid,1.196,0.483,2.045,1.09,0.466,0.514,55.558,5,1.0
main,17,xnav_only,2.539,0.687,2.137,2.03,0.554,0.925,55.558,5,1.0
main,17,gnss_only,3.13,41.369,53.604,117.298,53.469,19.726,55.558,5,1.0
main,18,hybrid,1.104,0.478,2.223,1.004,0.454,0.521,60.826,5,1.0
main,18,xnav_only,2.414,0.68,2.308,2.03,0.531,0.945,60.826,5,1.0
main,18,gnss_only,104.921,40.925,53.595,117.697,54.03,17.482,60.826,5,1.0
main,19,hybrid,1.242,0.501,2.66,1.057,0.451,0.59,73.415,5,1.0
main,19,xnav_only,2.638,0.698,2.733,2.023,0.523,1.012,73.415,5,1.0
main,19,gnss_only,20.355,39.584,52.146,115.198,52.006,17.364,73.415,5,1.0
